연도,순위,선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA,XBH,GO,AO,GO/AO,GW RBI,BB/K,P/PA,ISOP,XR,GPA,팀순위,경기수,팀승수,팀패수,팀무승부수,팀승률,팀게임차,출생연도,투구유형,타격유형,포지션
2018,9,유한준,KT,0.339,121,480,428,59,145,21,1,20,228,83,2,1,47,3,2,53,9,0.533,0.406,0.939,46,0.385,0.1,42,109,122,0.89,9,0.89,3.86,0.194,83.9,0.316,9,144,59,82,3,0.418,32.5,1981.0,우투,우타,외야수
2018,30,로하스,KT,0.305,144,645,564,114,172,30,1,43,333,114,1,2,71,4,7,142,10,0.59,0.388,0.978,50,0.322,0.0,74,130,122,1.07,9,0.5,4.06,0.285,119.5,0.322,9,144,59,82,3,0.418,32.5,1990.0,우투,양타,외야수
2018,29,호잉,한화,0.306,142,590,529,85,162,47,2,30,303,110,0,5,51,10,5,93,5,0.573,0.369,0.942,43,0.335,0.5,79,104,175,0.59,14,0.55,3.88,0.267,106.2,0.309,3,144,77,67,0,0.535,16.0,1989.0,우투,좌타,외야수
2018,28,버나디나,KIA,0.31,131,590,513,106,159,25,3,20,250,70,3,1,63,3,10,103,9,0.487,0.395,0.882,40,0.29,0.0,48,135,117,1.15,7,0.61,3.75,0.177,96.0,0.3,5,144,70,74,0,0.486,23.0,1984.0,좌투,좌타,외야수
2018,27,김재호,두산,0.311,131,467,402,78,125,20,0,16,193,75,3,6,52,1,4,77,12,0.48,0.39,0.87,32,0.35,0.5,36,81,125,0.65,7,0.68,4.0,0.169,73.7,0.296,1,144,93,51,0,0.646,0.0,1985.0,우투,우타,내야수
2018,26,노수광,SK,0.313,135,588,515,93,161,21,8,8,222,53,9,3,48,0,13,86,3,0.431,0.383,0.814,50,0.316,0.667,37,133,138,0.96,7,0.56,3.94,0.118,88.7,0.28,2,144,78,65,1,0.545,14.5,1990.0,우투,좌타,외야수
2018,25,오재원,두산,0.313,132,521,473,78,148,24,1,15,219,81,3,2,41,0,2,119,13,0.463,0.369,0.832,35,0.338,0.0,40,119,89,1.34,11,0.34,3.89,0.15,75.2,0.282,1,144,93,51,0,0.646,0.0,1985.0,우투,좌타,내야수
2018,24,이형종,LG,0.316,118,485,437,83,138,27,0,13,204,42,5,0,31,0,12,82,6,0.467,0.377,0.844,37,0.292,0.364,40,112,105,1.07,5,0.38,3.72,0.151,72.0,0.286,8,144,68,75,1,0.476,24.5,1989.0,우투,우타,외야수
2018,23,로맥,SK,0.316,141,616,528,102,167,19,0,43,315,107,0,6,72,0,10,123,7,0.597,0.404,1.001,48,0.297,0.0,62,97,147,0.66,10,0.59,4.03,0.28,122.3,0.331,2,144,78,65,1,0.545,14.5,1985.0,우투,우타,내야수
2018,21,나성범,NC,0.318,144,620,556,110,177,36,3,23,288,91,0,5,44,4,15,131,11,0.518,0.381,0.899,53,0.319,0.0,62,146,107,1.36,12,0.34,3.74,0.2,104.0,0.301,10,144,58,85,1,0.406,34.5,1989.0,좌투,좌타,외야수
2018,20,박민우,NC,0.324,115,460,411,68,133,22,5,5,180,33,3,4,32,3,10,51,4,0.438,0.383,0.821,34,0.362,0.667,32,134,97,1.38,2,0.63,3.85,0.114,68.9,0.282,10,144,58,85,1,0.406,34.5,1993.0,우투,좌타,내야수
2018,19,허경민,두산,0.324,133,577,516,85,167,30,5,10,237,79,5,8,32,0,16,52,15,0.459,0.376,0.835,48,0.35,0.25,45,152,153,0.99,8,0.62,3.7,0.136,86.6,0.284,1,144,93,51,0,0.646,0.0,1990.0,우투,우타,내야수
2018,18,박건우,두산,0.326,125,529,488,79,159,24,6,12,231,84,1,2,28,1,10,65,14,0.473,0.373,0.846,47,0.373,0.5,42,126,140,0.9,11,0.43,3.49,0.148,77.9,0.286,1,144,93,51,0,0.646,0.0,1990.0,우투,우타,외야수
2018,17,손아섭,롯데,0.329,141,625,553,109,182,32,5,26,302,93,1,1,68,1,2,99,15,0.546,0.404,0.95,55,0.36,0.333,63,182,91,2.0,9,0.69,3.99,0.217,112.2,0.318,7,144,68,74,2,0.479,24.0,1988.0,우투,좌타,외야수
2018,31,박용택,LG,0.303,134,583,524,89,159,38,1,15,244,76,0,7,47,0,5,107,21,0.466,0.362,0.828,48,0.285,0.667,54,128,137,0.93,10,0.44,3.9,0.162,80.9,0.279,8,144,68,75,1,0.476,24.5,1979.0,우투,좌타,외야수
2018,16,이재원,SK,0.329,130,471,407,63,134,24,0,17,209,57,4,5,43,0,12,65,13,0.514,0.405,0.919,40,0.308,0.4,41,106,107,0.99,2,0.66,3.98,0.184,79.1,0.311,2,144,78,65,1,0.545,14.5,1988.0,우투,우타,내야수
2018,14,채은성,LG,0.331,139,578,529,78,175,36,2,25,290,119,0,5,35,1,9,97,12,0.548,0.379,0.927,54,0.362,0.0,63,130,132,0.98,7,0.36,3.74,0.217,99.9,0.308,8,144,68,75,1,0.476,24.5,1990.0,우투,우타,내야수
2018,13,구자욱,삼성,0.333,116,529,478,100,159,26,5,20,255,84,1,2,43,2,5,110,4,0.533,0.392,0.925,50,0.378,0.0,51,94,117,0.8,9,0.39,4.05,0.201,94.4,0.31,6,144,68,72,4,0.486,23.0,1993.0,우투,좌타,내야수
2018,11,이대호,롯데,0.333,144,604,543,81,181,30,0,37,322,125,0,4,43,7,14,75,18,0.593,0.394,0.987,55,0.307,0.444,67,130,161,0.81,17,0.57,3.66,0.26,112.0,0.326,7,144,68,74,2,0.479,24.0,1982.0,우투,우타,내야수
2018,11,최주환,두산,0.333,138,590,519,87,173,39,6,26,302,108,0,10,51,1,10,89,5,0.582,0.397,0.979,50,0.368,0.25,71,103,164,0.63,13,0.57,4.17,0.249,113.6,0.324,1,144,93,51,0,0.646,0.0,1988.0,우투,좌타,내야수
2018,7,김주찬,KIA,0.34,121,471,429,71,146,23,0,18,223,93,2,10,23,5,7,57,15,0.52,0.375,0.895,42,0.361,0.333,41,108,128,0.84,8,0.4,3.3,0.179,78.2,0.299,5,144,70,74,0,0.486,23.0,1981.0,우투,우타,외야수
2018,6,전준우,롯데,0.342,144,614,556,118,190,36,2,33,329,90,1,2,48,1,7,82,12,0.592,0.4,0.992,59,0.379,0.3,71,146,140,1.04,4,0.59,3.78,0.25,115.4,0.328,7,144,68,74,2,0.479,24.0,1986.0,우투,우타,외야수
2018,5,안치홍,KIA,0.342,130,549,494,88,169,38,1,23,278,118,0,9,36,1,10,57,13,0.563,0.392,0.955,53,0.403,0.333,62,113,164,0.69,15,0.63,3.43,0.221,100.0,0.317,5,144,70,74,0,0.486,23.0,1990.0,우투,우타,내야수
2018,4,박병호,넥센,0.345,113,488,400,88,138,20,0,43,287,112,0,3,68,10,17,114,9,0.718,0.457,1.175,46,0.312,0.333,63,73,78,0.94,9,0.6,4.12,0.373,114.8,0.385,4,144,75,69,0,0.521,18.0,1986.0,우투,우타,내야수
2018,3,이정후,넥센,0.355,109,520,459,81,163,34,2,6,219,57,3,8,42,3,8,58,5,0.477,0.412,0.889,46,0.37,0.0,42,114,132,0.86,4,0.72,3.75,0.122,87.3,0.305,4,144,75,69,0,0.521,18.0,1998.0,우투,좌타,외야수
2018,8,최형우,KIA,0.339,143,609,528,92,179,34,1,25,290,103,0,8,66,7,7,87,17,0.549,0.414,0.963,47,0.342,1.0,60,123,147,0.84,11,0.76,4.06,0.21,110.3,0.324,5,144,70,74,0,0.486,23.0,1984.0,우투,좌타,외야수
2018,2,양의지,두산,0.358,133,503,439,84,157,29,1,23,257,77,0,6,45,6,13,40,13,0.585,0.427,1.012,48,0.317,0.333,53,95,153,0.62,6,1.13,3.65,0.228,99.0,0.338,1,144,93,51,0,0.646,0.0,1987.0,우투,우타,내야수
2018,1,김현수,LG,0.362,117,511,453,95,164,39,2,20,267,101,0,10,47,6,1,61,9,0.589,0.415,1.004,48,0.419,0.0,61,136,102,1.33,8,0.77,3.66,0.227,99.3,0.334,8,144,68,75,1,0.476,24.5,1988.0,우투,좌타,외야수
2018,10,김재환,두산,0.334,139,602,527,104,176,36,1,44,346,133,0,7,59,4,9,134,6,0.657,0.405,1.062,51,0.295,1.0,81,102,122,0.84,16,0.44,3.83,0.323,128.6,0.347,1,144,93,51,0,0.646,0.0,1988.0,우투,좌타,외야수
