연도,순위,선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA,XBH,GO,AO,GO/AO,GW RBI,BB/K,P/PA,ISOP,XR,GPA,팀순위,경기수,팀승수,팀패수,팀무승부수,팀승률,팀게임차,포지션,투구유형,타격유형,출생연도
2020,1,최형우,KIA,0.354,140,600,522,93,185,37,1,28,308,115,0,3,70,5,5,101,9,0.59,0.433,1.023,55,0.374,1,66,111,128,0.87,18,0.69,4.13,0.236,119.2,0.342,,,,,,,,,,,
2020,2,손아섭,롯데,0.352,141,611,540,98,190,43,0,11,266,85,1,7,61,4,2,56,9,0.493,0.415,0.908,59,0.333,0.667,54,171,130,1.32,11,1.09,3.71,0.141,104.1,0.31,,,,,,,,,,,
2020,3,로하스,KT,0.349,142,628,550,116,192,39,1,47,374,135,0,8,65,5,5,132,11,0.68,0.417,1.097,58,0.351,0,87,94,140,0.67,16,0.49,4.06,0.331,137.9,0.358,,,,,,,,,,,
2020,4,박민우,NC,0.345,126,530,467,82,161,27,5,8,222,63,2,10,36,2,15,48,12,0.475,0.402,0.877,47,0.388,0.6,40,123,145,0.85,8,0.75,3.91,0.131,85.7,0.3,,,,,,,,,,,
2020,5,페르난데스,두산,0.34,144,668,586,104,199,29,0,21,291,105,0,11,58,1,13,42,26,0.497,0.404,0.901,62,0.327,0,50,206,150,1.37,9,1.38,3.66,0.157,108.6,0.306,,,,,,,,,,,
2020,6,이정후,키움,0.333,140,617,544,85,181,49,5,15,285,101,2,8,59,6,4,47,16,0.524,0.397,0.921,52,0.354,0.5,69,124,200,0.62,13,1.26,3.74,0.191,104.6,0.31,,,,,,,,,,,
2020,7,허경민,두산,0.332,117,487,437,70,145,25,1,7,193,58,3,7,35,2,5,28,10,0.442,0.382,0.824,45,0.375,0,33,128,143,0.9,3,1.25,3.45,0.11,71.6,0.282,,,,,,,,,,,
2020,8,김현수,LG,0.331,142,619,547,98,181,35,2,22,286,119,0,7,63,7,2,53,9,0.523,0.397,0.92,51,0.446,0,59,153,167,0.92,16,1.19,3.8,0.192,106.7,0.309,,,,,,,,,,,
2020,9,강백호,KT,0.33,129,574,500,95,165,36,1,23,272,89,0,3,66,9,5,93,7,0.544,0.411,0.955,48,0.32,0.5,60,124,121,1.02,8,0.71,3.81,0.214,104.2,0.321,,,,,,,,,,,
2020,10,양의지,NC,0.328,130,528,461,86,151,26,1,33,278,124,1,6,46,7,14,47,11,0.603,0.4,1.003,45,0.425,0.222,60,98,171,0.57,13,0.98,3.58,0.275,102.7,0.331,,,,,,,,,,,
