¿¬µµ,ÆÀ¼øÀ§,ÆÀ¸í,°æ±â¼ö,ÆÀ½Â¼ö,ÆÀÆÐ¼ö,ÆÀ¹«½ÂºÎ¼ö,ÆÀ½Â·ü,ÆÀ°ÔÀÓÂ÷
2021,1,KT,144,76,59,9,0.563,0
2021,2,»ï¼º,144,76,59,9,0.563,0
2021,3,µÎ»ê,144,71,65,8,0.522,5.5
2021,4,LG,144,72,58,14,0.554,1.5
2021,5,Å°¿ò,144,70,67,7,0.511,7
2021,6,SSG,144,66,64,14,0.508,7.5
2021,7,NC,144,67,68,9,0.496,9
2021,8,·Ôµ¥,144,65,71,8,0.478,11.5
2021,9,KIA,144,58,76,10,0.433,17.5
2021,10,ÇÑÈ­,144,49,83,12,0.371,25.5
2022,1,SSG,144,88,52,4,0.629,0
2022,2,LG,144,87,55,2,0.613,2
2022,3,Å°¿ò,144,80,62,2,0.563,9
2022,4,KT,144,80,62,2,0.563,9
2022,5,KIA,144,70,73,1,0.49,19.5
2022,6,NC,144,67,74,3,0.475,21.5
2022,7,»ï¼º,144,66,76,2,0.465,23
2022,8,·Ôµ¥,144,64,76,4,0.457,24
2022,9,µÎ»ê,144,60,82,2,0.423,29
2022,10,ÇÑÈ­,144,46,96,2,0.324,43
2023,1,LG,144,86,56,2,0.606,0
2023,2,KT,144,79,62,3,0.56,6.5
2023,3,SSG,144,76,65,3,0.539,9.5
2023,4,NC,144,75,67,2,0.528,11
2023,5,µÎ»ê,144,74,68,2,0.521,12
2023,6,KIA,144,73,69,2,0.514,13
2023,7,·Ôµ¥,144,68,76,0,0.472,19
2023,8,»ï¼º,144,61,82,1,0.427,25.5
2023,9,ÇÑÈ­,144,58,80,6,0.42,26
2023,10,Å°¿ò,144,58,83,3,0.411,27.5
2024,1,KIA,144,87,55,2,0.613,0
2024,2,»ï¼º,144,78,64,2,0.549,9
2024,3,LG,144,76,66,2,0.535,11
2024,4,µÎ»ê,144,74,68,2,0.521,13
2024,5,KT,144,72,70,2,0.507,15
2024,6,SSG,144,72,70,2,0.507,15
2024,7,·Ôµ¥,144,66,74,4,0.471,20
2024,8,ÇÑÈ­,144,66,76,2,0.465,21
2024,9,NC,144,61,81,2,0.43,26
2024,10,Å°¿ò,144,58,86,0,0.403,30
