선수명,포지션,투구유형,타격유형,출생연도
이정후,외야수,우투,좌타,1998
전준우,외야수,우투,우타,1986
강백호,내야수,우투,좌타,1999
홍창기,외야수,우투,좌타,1993
박건우,외야수,우투,우타,1990
양의지,내야수,우투,우타,1987
손아섭,외야수,우투,좌타,1988
페르난데스,내야수,우투,좌타,1988
김선빈,내야수,우투,우타,1989
안치홍,내야수,우투,우타,1990
구자욱,내야수,우투,좌타,1993
김혜성,내야수,우투,좌타,1999
박성한,내야수,우투,좌타,1998
이용규,외야수,좌투,좌타,1985
최원준,외야수,우투,좌타,1997
정훈,내야수,우투,우타,1987
황재균,내야수,우투,우타,1987
박해민,내야수,우투,좌타,1990
강민호,내야수,우투,우타,1985
이대호,내야수,우투,우타,1982
피렐라,내야수,우투,우타,1989
오재일,내야수,좌투,좌타,1986
김현수,외야수,우투,좌타,1988
정은원,내야수,우투,좌타,2000
나성범,외야수,좌투,좌타,1989
마차도,내야수,우투,우타,1992
한유섬,외야수,우투,좌타,1989
허경민,내야수,우투,우타,1990
최정,내야수,우투,우타,1987
채은성,내야수,우투,우타,1990
최재훈,내야수,우투,우타,1989
김재환,외야수,우투,좌타,1988
양석환,내야수,우투,우타,1991
하주석,내야수,우투,좌타,1994
알테어,외야수,우투,우타,1991
노시환,내야수,우투,우타,2000
심우준,외야수,우투,우타,1995
한동희,내야수,우투,우타,1999
추신수,외야수,좌투,좌타,1982
최지훈,외야수,우투,좌타,1997
배정대,외야수,우투,우타,1995
최주환,내야수,우투,좌타,1988
오지환,내야수,우투,좌타,1990
서건창,내야수,우투,좌타,1989
박동원,내야수,우투,우타,1990
강진성,내야수,우투,우타,1993
박찬호,내야수,우투,우타,1973
터커,외야수,좌투,좌타,1990
조용호,외야수,우투,좌타,1989
김상수,내야수,우투,우타,1990
