선수명,포지션,투구유형,타격유형,출생연도
최형우,외야수,우투,좌타,1984
장성우,내야수,우투,우타,1990
이원석,내야수,우투,우타,1986
박병호,내야수,우투,우타,1986
문보경,내야수,우투,좌타,2000
소크라테스,외야수,좌투,좌타,1992
마티니,외야수,좌투,좌타,1990
터크먼,외야수,좌투,좌타,1990
노진혁,내야수,우투,좌타,1989
푸이그,외야수,우투,우타,1990
류지혁,내야수,우투,좌타,1994
이지영,내야수,우투,우타,1986
박민우,내야수,우투,좌타,1993
강승호,내야수,우투,우타,1994
정수빈,외야수,좌투,좌타,1990
황대인,내야수,우투,우타,1996
유강남,내야수,우투,우타,1992
송성문,내야수,우투,좌타,1996
김태연,외야수,우투,우타,1997
에레디아,외야수,좌투,우타,1991
오스틴,내야수,우투,우타,1993
김민혁,외야수,우투,좌타,1995
문성주,외야수,좌투,좌타,1997
알포드,외야수,우투,우타,1994
마틴,외야수,우투,좌타,1995
김현준,외야수,좌투,좌타,2002
문현빈,내야수,우투,좌타,2004
김민석,외야수,우투,좌타,2004
로하스,외야수,우투,양타,1990
이재현,내야수,우투,우타,2003
김주원,내야수,우투,양타,2002
레이예스,외야수,우투,양타,1994
김도영,내야수,우투,우타,2003
김지찬,외야수,우투,좌타,2001
나승엽,내야수,우투,좌타,2002
고승민,내야수,우투,좌타,2000
데이비슨,내야수,우투,우타,1991
권희동,외야수,우투,우타,1990
신민재,내야수,우투,좌타,1996
윤동희,외야수,우투,우타,2003
이우성,외야수,우투,우타,1994
서호철,내야수,우투,우타,1996
페라자,외야수,우투,양타,1998
이주형,내야수,좌투,좌타,2002
박승욱,내야수,우투,좌타,1992
김휘집,내야수,우투,우타,2002
김영웅,내야수,우투,좌타,2003
